Groningen            - 000, 000, 000, 000, 033, 000, 219, 000, 005, 000, 000, 000, 004, 000, 098, 000, 255, 003, 000, 000, 000, 025, 025, 025, 255, 255, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 
Flensburg            - 000, 000, 000, 000, 105, 000, 036, 000, 005, 000, 000, 000, 004, 000, 098, 000, 255, 003, 000, 000, 000, 025, 025, 025, 255, 255, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 
Vordingbrd           - 000, 000, 000, 000, 160, 000, 016, 000, 005, 000, 000, 000, 004, 000, 098, 000, 255, 003, 000, 000, 000, 025, 025, 025, 255, 255, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 
Naskskov             - 000, 000, 000, 000, 142, 000, 036, 000, 005, 000, 000, 000, 004, 000, 098, 000, 255, 003, 000, 000, 000, 025, 025, 025, 255, 255, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 
Schleswig            - 000, 000, 000, 000, 106, 000, 072, 000, 005, 000, 000, 000, 004, 000, 098, 000, 255, 005, 000, 000, 000, 025, 025, 025, 255, 255, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 
Lubeck               - 000, 000, 000, 000, 133, 000, 151, 000, 005, 000, 000, 000, 004, 000, 098, 000, 255, 007, 000, 000, 000, 025, 025, 025, 255, 255, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 
Wismar               - 000, 000, 000, 000, 151, 000, 149, 000, 005, 000, 000, 000, 004, 000, 098, 000, 255, 004, 000, 000, 000, 025, 025, 025, 255, 255, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 
Rostock              - 000, 000, 000, 000, 166, 000, 129, 000, 005, 000, 000, 000, 004, 000, 098, 000, 255, 005, 000, 000, 000, 025, 025, 025, 255, 255, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 
Stralsund            - 000, 000, 000, 000, 186, 000, 100, 000, 005, 000, 000, 000, 004, 000, 098, 000, 255, 005, 000, 000, 000, 025, 025, 025, 255, 255, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 
Stettin              - 000, 000, 000, 000, 226, 000, 199, 000, 005, 000, 000, 000, 004, 000, 098, 000, 255, 003, 000, 000, 000, 025, 025, 025, 255, 255, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 
Hamburg              - 000, 000, 000, 000, 115, 000, 191, 000, 005, 000, 000, 000, 004, 000, 098, 000, 255, 007, 000, 000, 000, 025, 025, 025, 255, 255, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 
Luneberg             - 000, 000, 000, 000, 124, 000, 234, 000, 005, 000, 000, 000, 004, 000, 098, 000, 255, 005, 000, 000, 000, 025, 025, 025, 255, 255, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 
Bremen               - 000, 000, 000, 000, 087, 000, 243, 000, 005, 000, 000, 000, 004, 000, 098, 000, 255, 006, 000, 000, 000, 025, 025, 025, 255, 255, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 
Leer                 - 000, 000, 000, 000, 055, 000, 221, 000, 005, 000, 000, 000, 004, 000, 098, 000, 255, 003, 000, 000, 000, 025, 025, 025, 255, 255, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 
Osnabruck            - 000, 000, 000, 000, 063, 000, 085, 001, 005, 000, 000, 000, 004, 000, 098, 000, 255, 005, 000, 000, 000, 025, 025, 025, 255, 255, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 
Hannover             - 000, 000, 000, 000, 107, 000, 075, 001, 005, 000, 000, 000, 004, 000, 098, 000, 255, 005, 000, 000, 000, 025, 025, 025, 255, 255, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 
Braunschwg           - 000, 000, 000, 000, 123, 000, 080, 001, 005, 000, 000, 000, 004, 000, 098, 000, 255, 005, 000, 000, 000, 025, 025, 025, 255, 255, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 
Kempen               - 000, 000, 000, 000, 020, 000, 198, 001, 005, 000, 000, 000, 004, 000, 098, 000, 255, 004, 000, 000, 000, 025, 025, 025, 255, 255, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 
